"","X","Ngram","n","result"
"1",1,"new york",2219,"city"
"2",2,"two years",1482,"ago"
"3",3,"president barack",1451,"obama"
"4",4,"new york",1252,"times"
"5",5,"world war",1065,"ii"
"6",6,"st louis",1064,"county"
"7",7,"gov chris",917,"christie"
"8",8,"first time",779,"since"
"9",9,"will take",761,"place"
"10",10,"im pretty",738,"sure"
"11",11,"three years",738,"ago"
"12",12,"two weeks",722,"ago"
"13",13,"four years",670,"ago"
"14",14,"five years",604,"ago"
"15",15,"im looking",568,"forward"
"16",16,"past two",567,"years"
"17",17,"dont get",564,"wrong"
"18",18,"cant wait",563,"see"
"19",19,"cents per",516,"share"
"20",20,"couple weeks",514,"ago"
"21",21,"g protein",503,"g"
"22",22,"rock n",501,"roll"
"23",23,"new years",494,"eve"
"24",24,"superior court",485,"judge"
"25",25,"county prosecutors",482,"office"
"26",26,"george w",482,"bush"
"27",27,"chief executive",477,"officer"
"28",28,"several years",467,"ago"
"29",29,"dont even",466,"know"
"30",30,"last two",459,"years"
"31",31,"county sheriffs",455,"office"
"32",32,"president barack",451,"obamas"
"33",33,"feel like",448,"im"
"34",34,"senior vice",444,"president"
"35",35,"us district",444,"judge"
"36",36,"couple years",439,"ago"
"37",37,"us district",439,"court"
"38",38,"told associated",438,"press"
"39",39,"wall street",436,"journal"
"40",40,"g fat",435,"g"
"41",41,"lets just",433,"say"
"42",42,"osama bin",432,"laden"
"43",43,"fat g",431,"saturated"
"44",44,"high school",431,"students"
"45",45,"amazon services",427,"llc"
"46",46,"st charles",424,"county"
"47",47,"world trade",424,"center"
"48",48,"attorney generals",423,"office"
"49",49,"let us",415,"know"
"50",50,"g carbohydrate",410,"g"
"51",51,"new york",408,"ny"
"52",52,"martin luther",406,"king"
"53",53,"executive vice",403,"president"
"54",54,"preheat oven",401,"degrees"
"55",55,"los angeles",398,"times"
"56",56,"want make",393,"sure"
"57",57,"long time",390,"ago"
"58",58,"national weather",387,"service"
"59",59,"cinco de",384,"mayo"
"60",60,"st patricks",383,"day"
"61",61,"chief financial",381,"officer"
"62",62,"us supreme",374,"court"
"63",63,"dow jones",369,"industrial"
"64",64,"right now",366,"im"
"65",65,"points per",365,"game"
"66",66,"dont feel",362,"like"
"67",67,"said last",361,"week"
"68",68,"jones industrial",359,"average"
"69",69,"ive ever",355,"seen"
"70",70,"per serving",350,"calories"
"71",71,"protein g",350,"carbohydrate"
"72",72,"many years",349,"ago"
"73",73,"st louis",347,"area"
"74",74,"incorporated item",344,"c"
"75",75,"ive never",341,"seen"
"76",76,"two years",337,"later"
"77",77,"item c",336,"pp"
"78",78,"past three",335,"years"
"79",79,"occupy wall",333,"street"
"80",80,"chief operating",331,"officer"
"81",81,"late last",328,"year"
"82",82,"every single",326,"day"
"83",83,"serving calories",318,"g"
"84",84,"im sure",317,"will"
"85",85,"new york",316,"new"
"86",86,"district attorneys",312,"office"
"87",87,"major league",309,"baseball"
"88",88,"environmental protection",307,"agency"
"89",89,"us attorneys",302,"office"
"90",90,"east st",299,"louis"
"91",91,"los angeles",299,"county"
"92",92,"said dont",298,"know"
"93",93,"happy new",291,"year"
"94",94,"spent lot",290,"time"
"95",95,"calories g",287,"fat"
"96",96,"last three",286,"years"
"97",97,"just little",285,"bit"
"98",98,"didnt even",284,"know"
"99",99,"one way",283,"another"
