"","X","Ngram","n","result"
"1",1,"new",16666,"york"
"2",2,"last",16575,"year"
"3",3,"years",11937,"ago"
"4",4,"high",11428,"school"
"5",5,"dont",11288,"know"
"6",6,"last",10582,"week"
"7",7,"st",9261,"louis"
"8",8,"right",9093,"now"
"9",9,"first",8716,"time"
"10",10,"new",8015,"jersey"
"11",11,"even",7700,"though"
"12",12,"united",7413,"states"
"13",13,"im",6776,"going"
"14",14,"two",6715,"years"
"15",15,"dont",6696,"want"
"16",16,"make",6679,"sure"
"17",17,"dont",6555,"think"
"18",18,"im",6466,"sure"
"19",19,"feel",6331,"like"
"20",20,"los",6025,"angeles"
"21",21,"can",5528,"get"
"22",22,"every",5476,"day"
"23",23,"can",5359,"see"
"24",24,"san",5167,"francisco"
"25",25,"last",4826,"month"
"26",26,"one",4817,"day"
"27",27,"little",4691,"bit"
"28",28,"last",4533,"night"
"29",29,"three",4463,"years"
"30",30,"one",4409,"thing"
"31",31,"next",4303,"year"
"32",32,"many",4296,"people"
"33",33,"health",4252,"care"
"34",34,"long",4032,"time"
"35",35,"just",3965,"like"
"36",36,"will",3943,"take"
"37",37,"looks",3868,"like"
"38",38,"last",3730,"years"
"39",39,"look",3730,"like"
"40",40,"five",3634,"years"
"41",41,"can",3615,"make"
"42",42,"two",3572,"weeks"
"43",43,"will",3525,"get"
"44",44,"didnt",3463,"know"
"45",45,"pretty",3423,"much"
"46",46,"every",3386,"time"
"47",47,"just",3380,"one"
"48",48,"go",3378,"back"
"49",49,"will",3365,"make"
"50",50,"next",3360,"week"
"51",51,"four",3311,"years"
"52",52,"didnt",3251,"want"
"53",53,"will",3150,"also"
"54",54,"get",3113,"back"
"55",55,"police",3100,"said"
"56",56,"come",3080,"back"
"57",57,"san",3069,"diego"
"58",58,"vice",3068,"president"
"59",59,"years",3063,"old"
"60",60,"last",3044,"season"
"61",61,"officials",3003,"said"
"62",62,"felt",2930,"like"
"63",63,"dont",2877,"get"
"64",64,"looking",2844,"forward"
"65",65,"white",2814,"house"
"66",66,"year",2780,"old"
"67",67,"dont",2757,"like"
"68",68,"cant",2755,"wait"
"69",69,"can",2751,"also"
"70",70,"weeks",2739,"ago"
"71",71,"will",2674,"go"
"72",72,"im",2653,"just"
"73",73,"will",2625,"continue"
"74",74,"let",2605,"know"
"75",75,"will",2561,"never"
"76",76,"supreme",2549,"court"
"77",77,"real",2480,"estate"
"78",78,"last",2445,"time"
"79",79,"will",2432,"help"
"80",80,"really",2402,"good"
"81",81,"years",2359,"later"
"82",82,"year",2358,"ago"
"83",83,"will",2348,"come"
"84",84,"can",2345,"find"
"85",85,"ive",2342,"never"
"86",86,"one",2335,"two"
"87",87,"ice",2334,"cream"
"88",88,"law",2326,"enforcement"
"89",89,"executive",2305,"director"
"90",90,"something",2297,"like"
"91",91,"ive",2285,"got"
"92",92,"many",2281,"times"
"93",93,"much",2276,"better"
"94",94,"city",2263,"council"
"95",95,"one",2256,"best"
"96",96,"social",2251,"media"
"97",97,"can",2244,"help"
"98",98,"pretty",2232,"good"
"99",99,"york",2226,"city"
